"","date","locality","startTime","endTime","windowCount","window","plantID","plantSpecies","pollinatorSpecies","pollinatorID","inflorescencesVisited","Inflorescences total","notes","observers","year","month","day","treatment"
"1",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Agraulis vanillae insularis",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"2",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Apis mellifera",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"3",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Campsomeris dorsata",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"4",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Campsomeris dorsata",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"5",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,3,NA,"Bidens alba","Campsomeris dorsata",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"6",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,3,NA,"Bidens alba","Campsomeris dorsata",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"7",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,1,NA,"Bidens alba","Panoquina panoquinoides panoquinoides",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"8",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,4,NA,"Bidens alba","Apis mellifera",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"9",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,4,NA,"Bidens alba","Campsomeris ephippium",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"10",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,4,NA,"Bidens alba","Stictia signata",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"11",2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,2,NA,"Bidens alba","Bembix sp",NA,"1",NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel González & James Ackerman",2014,8,24,"before"
"12",2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Agraulis vanillae insularis",NA,"1",NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before"
"13",2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Agraulis vanillae insularis",NA,"1",NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before"
"14",2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,"1",NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before"
"15",2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,"1",NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before"
